count,-5
_,2,3,4,5,6,7,8,9,10,11
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
count,-4
_,2,3,4,5,6,7,8,9,10,11
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,0,1,1,1,0,0,0,0,0
7,0,0,0,1,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
count,-2
_,2,3,4,5,6,7,8,9,10,11
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0
4,0,0,0,1,1,0,0,0,0,0
5,0,0,0,1,1,0,0,0,0,0
6,0,1,1,1,1,0,0,0,0,0
7,0,0,1,1,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
count,0
_,2,3,4,5,6,7,8,9,10,11
2,0,0,0,1,1,0,0,0,0,0
3,0,0,1,1,1,0,0,0,0,0
4,0,0,1,1,1,0,0,0,0,0
5,0,0,0,1,1,0,0,0,0,0
6,1,1,1,1,1,0,0,0,0,0
7,1,1,1,1,1,0,0,0,0,0
8,0,0,0,1,1,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
count,2
_,2,3,4,5,6,7,8,9,10,11
2,0,0,1,1,1,0,0,0,0,0
3,0,0,1,1,1,0,0,0,0,0
4,0,0,1,1,1,0,0,0,0,0
5,0,0,1,1,1,0,0,0,0,0
6,1,1,1,1,1,0,0,0,0,0
7,1,1,1,1,1,0,0,0,0,0
8,0,1,1,1,1,0,0,0,0,0
9,0,0,0,1,1,0,0,0,0,0
count,4
_,2,3,4,5,6,7,8,9,10,11
2,0,0,1,1,1,0,0,0,0,0
3,0,0,1,1,1,0,0,0,0,0
4,0,0,1,1,1,0,0,0,0,0
5,0,0,1,1,1,0,0,0,0,0
6,1,1,1,1,1,0,0,0,0,0
7,1,1,1,1,1,0,0,0,0,0
8,1,1,1,1,1,0,0,0,0,0
9,0,1,1,1,1,0,0,0,0,0
